zip,"Estimated percent of all people age 25-34, between 2014-2018.","Estimated percent of all people age 35-44, between 2014-2018.","Estimated percent of all people age 45-54, between 2014-2018.","Estimated percent of all people age 55-64, between 2014-2018.","Estimated percent of all people 65 or older, between 2014-2018.",Estimated typical (median) age of all people between 2013-2017.
00501,14.95,11.62,22.52,13.01,10.54,38.0
00601,13.986666666666666,10.57,10.866666666666665,10.59,19.083333333333332,36.666666666666664
00602,11.2425,12.73,13.905000000000001,14.9125,18.19,42.25
00603,12.026470588235291,12.126470588235295,12.68411764705882,13.198823529411765,20.614117647058823,41.470588235294116
00604,8.73,17.29,14.59,12.11,12.75,38.0
00605,16.31,10.02,12.78,9.93,18.93,36.0
00606,11.363333333333335,13.660000000000002,12.216666666666667,14.03,17.373333333333335,41.0
00610,11.0,12.635000000000002,13.795,12.942499999999999,22.12,42.75
00611,9.37,11.46,18.59,12.43,16.48,38.0
00612,11.562916666666668,12.505833333333335,13.495833333333335,11.725416666666668,20.84166666666667,41.75
00613,11.745000000000001,11.415,12.735,13.145,22.22,44.0
00614,13.53,10.22,9.5,12.84,22.95,43.0
00616,13.64,15.32,14.35,13.24,12.49,39.0
00617,13.128,14.094,11.913999999999998,10.88,18.546,38.6
00622,11.13,14.63,9.89,8.92,31.06,48.0
00623,11.295,13.685999999999998,13.100999999999999,11.986,21.189999999999998,42.7
00624,12.096666666666666,12.72166666666667,12.688333333333333,11.398333333333333,18.743333333333336,40.333333333333336
00627,12.316666666666668,12.693333333333333,14.18,11.323333333333332,17.933333333333334,38.666666666666664
00631,17.17,8.92,8.02,13.58,23.29,40.0
00637,11.605000000000002,11.585,12.008333333333333,12.658333333333331,22.188333333333336,42.166666666666664
00638,11.775,12.045000000000002,12.2075,13.4625,16.915,40.5
00641,13.551666666666668,9.556666666666667,11.806666666666667,14.971666666666664,20.621666666666666,43.5
00646,12.216923076923074,14.235384615384616,13.583076923076927,12.391538461538463,16.414615384615384,39.84615384615385
00647,10.6425,10.91,12.3425,13.2875,28.23,45.75
00650,11.848749999999999,12.8475,12.4625,12.012500000000001,18.715,39.625
00652,14.76,12.41,15.46,9.19,15.0,38.0
00653,10.1375,12.092500000000001,11.3925,14.0125,20.0725,40.0
00656,12.316666666666665,12.92,12.75,11.770000000000001,17.37333333333333,38.333333333333336
00659,12.652857142857142,12.522857142857143,14.124285714285715,12.510000000000002,20.102857142857143,42.142857142857146
00660,9.881666666666668,11.13,12.123333333333333,13.160000000000002,28.331666666666663,47.833333333333336
00662,12.110909090909091,12.938181818181818,13.25090909090909,13.637272727272727,19.87636363636364,41.81818181818182
00664,13.173333333333334,11.986666666666666,12.14,12.703333333333333,15.293333333333335,36.333333333333336
00667,10.693999999999999,11.294,12.792000000000002,14.152000000000001,22.142,43.6
00669,11.719999999999999,12.756666666666668,12.226666666666667,13.983333333333333,23.896666666666665,41.666666666666664
00670,11.245000000000001,11.370000000000001,13.254999999999999,13.8,21.055,43.5
00674,12.215333333333335,11.703999999999999,12.740000000000002,13.868,19.827333333333332,41.2
00676,12.910000000000002,12.089999999999998,13.82,12.550000000000002,16.209999999999997,38.666666666666664
00677,10.82,12.25,14.6175,12.6325,22.394999999999996,44.25
00678,11.833333333333334,12.253333333333332,13.35,13.229999999999999,18.94666666666667,41.0
00680,10.554761904761905,9.371904761904762,10.194285714285714,12.67047619047619,25.170476190476194,42.285714285714285
00681,5.18,1.89,5.67,5.24,7.93,23.0
00682,10.41642857142857,10.029285714285715,10.117857142857144,10.403571428571428,19.944285714285712,37.0
00683,11.067142857142857,10.211428571428572,11.967142857142857,12.917142857142858,23.427142857142858,41.714285714285715
00685,11.26,12.36,12.854999999999999,12.086666666666666,19.215,41.166666666666664
00687,13.61,12.446666666666665,13.03111111111111,13.066666666666668,16.05666666666667,39.111111111111114
00688,13.52,16.83,10.45,8.74,15.23,33.0
00690,8.26,11.08,12.3,17.665,26.065,46.0
00692,12.780909090909091,12.847272727272726,13.567272727272725,11.502727272727274,16.848181818181818,38.45454545454545
00693,12.1325,12.351874999999998,12.676874999999999,13.331874999999998,19.546875,41.625
00694,12.59,16.29,12.22,12.44,15.62,36.0
00698,10.978181818181818,12.258181818181818,13.510000000000002,14.045454545454545,21.492727272727272,42.81818181818182
00703,11.136,11.61,13.476000000000003,13.219999999999999,19.578,42.0
00704,10.866666666666665,12.793333333333331,12.616666666666667,13.673333333333332,20.63,42.0
00705,13.69,11.763333333333334,11.971666666666666,14.338333333333333,17.608333333333334,39.166666666666664
00707,9.78,12.7,14.7,12.695,20.56,44.0
00714,13.01,12.52,11.995000000000001,11.9175,18.3525,38.5
00715,10.836666666666666,11.910000000000002,14.376666666666667,13.533333333333331,21.286666666666665,45.333333333333336
00716,11.919047619047618,11.576666666666664,11.524761904761904,13.180952380952382,21.744285714285713,40.714285714285715
00717,12.216999999999997,10.023,10.543,12.097,22.303,40.1
00718,13.355,14.0025,12.065,11.1675,16.6225,38.0
00719,12.969999999999999,13.583333333333334,11.456666666666665,9.993333333333334,18.736666666666665,39.333333333333336
00720,12.126,10.382,14.443999999999999,13.286000000000001,20.45,41.8
00721,10.11,15.59,11.67,8.69,23.26,40.0
00723,12.534,10.446,13.348000000000003,14.106,21.92,43.2
00725,12.004358974358972,12.82025641025641,12.803846153846154,12.603076923076921,19.976153846153846,40.58974358974359
00726,11.455,9.715,10.29,11.91,30.175,46.0
00727,12.207083333333332,13.167083333333336,13.02166666666667,11.573333333333332,20.299166666666668,40.666666666666664
00728,11.972777777777777,10.893888888888888,11.657222222222224,12.691666666666666,19.83666666666667,39.166666666666664
00729,12.854736842105263,14.01736842105263,14.352631578947367,12.019473684210528,16.451052631578946,39.578947368421055
00730,12.086296296296295,11.47,11.26296296296296,12.958888888888886,20.37333333333333,40.333333333333336
00731,10.41,11.445,11.510000000000002,14.195,21.005000000000003,43.5
00732,12.36,14.75,9.04,18.41,19.35,38.0
00733,8.88,11.4,12.58,13.14,21.42,39.0
00735,11.484,13.348000000000003,13.742,9.872,20.462,40.8
00736,11.723636363636361,12.432727272727272,13.73181818181818,12.536363636363637,20.65727272727273,41.81818181818182
00737,13.15,7.67,11.19,8.01,25.89,34.0
00738,11.546999999999999,11.869999999999997,13.415000000000001,11.210999999999999,20.631999999999998,40.4
00739,13.484,12.175,13.981999999999996,12.111,15.443999999999999,38.5
00740,12.75,13.245000000000001,10.115,10.895,17.869999999999997,35.5
00741,18.93,9.57,17.73,11.78,15.8,41.0
00744,16.4,9.93,10.93,14.7,24.16,43.0
00745,13.374285714285717,13.049285714285714,13.247857142857143,11.703571428571427,18.16785714285714,39.92857142857143
00751,11.355714285714287,12.645714285714288,12.484285714285715,12.24,20.09142857142857,39.857142857142854
00754,12.322222222222223,13.256666666666668,12.616666666666667,11.375555555555557,19.012222222222224,39.0
00757,12.588333333333333,14.5,12.700000000000001,10.18,16.726666666666663,37.666666666666664
00765,11.715,11.895,12.29,14.95,20.965,41.5
00766,11.9,13.512,13.168000000000001,12.216,14.616000000000003,37.2
00767,11.466000000000001,12.597999999999999,14.372000000000003,12.438,17.839999999999996,39.0
00769,12.61125,13.010000000000002,13.69125,13.235,18.654999999999998,39.625
00771,12.282857142857143,14.274285714285712,11.625714285714285,11.18142857142857,16.67142857142857,37.285714285714285
00772,13.05,12.015,10.715,12.875,19.09,36.0
00773,11.6075,12.479999999999999,12.11,11.93,20.6375,39.5
00775,20.02,7.08,12.4,12.86,21.84,39.0
00777,13.06111111111111,14.874444444444444,12.982222222222223,11.336666666666666,15.538888888888888,38.22222222222222
00778,13.523000000000001,13.216500000000002,13.812999999999999,12.941000000000003,16.347,39.8
00780,12.256666666666666,11.106666666666667,12.506666666666666,13.165000000000001,19.946666666666665,40.166666666666664
00782,13.162500000000001,12.329999999999998,11.165,12.537499999999998,14.375,34.25
00783,13.975999999999999,11.742,12.462,13.443999999999999,16.928,38.4
00784,13.627272727272727,12.473636363636361,11.911818181818184,12.79,17.519090909090906,38.36363636363637
00785,13.45,5.51,3.85,12.82,14.93,23.0
00786,13.42,12.35,12.87,14.84,23.09,46.0
00791,11.671249999999999,11.995000000000001,12.44375,14.036249999999999,20.442500000000003,41.375
00792,9.02,9.85,12.61,9.3,24.42,40.0
00794,13.633333333333335,12.24,12.456666666666665,11.513333333333335,15.811666666666667,37.166666666666664
00795,13.283999999999995,11.736666666666668,11.947333333333335,12.12866666666667,18.867333333333338,39.13333333333333
00901,12.56625,13.33,15.606249999999998,12.4725,23.162499999999998,43.875
00902,14.17,7.04,12.3,14.71,30.75,45.0
00907,14.513636363636364,12.661818181818182,15.73181818181818,12.782727272727271,23.75181818181818,45.09090909090909
00908,8.01,17.21,27.0,10.91,23.59,51.0
00909,12.020000000000001,13.652222222222223,14.643333333333333,14.17111111111111,22.74111111111111,43.666666666666664
00910,15.47,10.96,16.07,15.77,18.17,46.0
00911,14.265714285714285,12.045714285714286,14.42,14.974285714285713,22.752857142857142,46.285714285714285
00912,12.784285714285716,12.777142857142858,14.652857142857142,15.145714285714288,20.98,43.0
00913,15.050000000000002,9.356666666666667,11.463333333333333,10.44,15.770000000000001,33.0
00914,7.68,18.26,13.48,14.19,24.39,45.0
00915,12.605294117647059,12.59235294117647,12.690000000000001,13.475294117647056,19.637647058823532,40.88235294117647
00916,11.68,8.1,17.11,12.48,25.92,48.0
00917,13.095499999999998,11.1005,12.95,14.357499999999998,23.333500000000004,44.35
00918,12.721428571428572,13.012857142857143,12.741428571428571,11.165714285714287,22.09142857142857,40.42857142857143
00919,19.19,16.42,16.08,9.93,20.3,44.0
00920,12.362499999999999,11.269999999999998,12.538,14.4405,24.4095,45.25
00921,12.413928571428572,12.911428571428573,12.778928571428569,12.921071428571434,21.02,41.714285714285715
